Unknowns in Biomolecules table (lipidomics platform)				Compound discoverer (3.1) - discovery metabolomics database search results matching to unknowns																										
biomolecule_id	standardized_name	omics_id	keep	Name	Formula	Annotation.Source..Predicted.Compositions	Annotation.Source..mzCloud.Search	Annotation.Source..mzVault.Search	Annotation.Source..ChemSpider.Search	m/z	Ion	Molecular Weight	Retention time (min)	Area maximum	Number of ChemSpider Results	Number of mzCloud Results	Number of mzVault Results	Number of KEGG Pathways	KEGG Pathways	mzCloud Best Match	mzVault Best Match	mzVault Library Match  Bamba lab 34 lipid mediators library stepped NCE 10 30 45	mzVault Library Match  Bamba lab 598 polar metabolites stepped NCE 10 30 45	mzVault Library Match  Customer_Library_ESI_WatersAmideHILIC_HCD_20200102_YYZ	mzVault Library Match  KI GIAR_zic HILIC_Pos_v0 90_814 entries_20200213	mzVault Library Match  MassBank_60770 entries_20200213	mzVault Library Match  Fiehn HILIC_3061 entries_20200213	mzVault Library Match  Combined_79246Pos_36055Neg_MassBank_20200213	mzCloud Best Sim  Match	MS2
2421	Unknown_mz_450.32153_+_RT_8.101	2	1	Glycoursodeoxycholic acid	C26 H43 N O5	Not the top hit	Full match	No results	Full match	450.32153	[M+H]+1	449.31409	8.101	306537922.3	6	1	0	4	Bile secretion;Other	75.4	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2458	Unknown_mz_485.31091_+_RT_8.298	2	1	"(2R,3S,4S,5S,6R)-2-[[7-hydroxy-4-[(Z)-5-hydroxy-3-methylpent-3-enyl]-4a,8,8-trimethyl-3-methylidene-2,4,5,6,7,8a-hexahydro-1H-naphthalen-2-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol"	C26 H44 O8	Not the top hit	No results	Full match	No match	485.31091	[M+H]+1	484.30333	8.3	34859197.96	1	0	1	0		NA	31.6	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
2467	Unknown_mz_257.17542_-_RT_8.317	2	1	Tetradecanedioic acid	C14 H26 O4	Full match	Full match	No results	Full match	257.17542	[M-H]-1	258.18273	8.318	11681590.23	6	1	0	0		84.7	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2504	Unknown_mz_325.21576_+_RT_8.367	2	1	"NCGC00169660-02_C22H30O3_2-Hydroxy-6-[(8Z,11Z)-8,11,14-pentadecatrien-1-yl]benzoic acid"	C22 H30 O3	Full match	No results	Full match	Partial match	325.21576	[M+H-H2O]+1	342.21896	8.371	769224450.3	11	0	9	0		NA	50.1	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2505	Unknown_mz_383.21872_+_RT_8.367	2	1	"NCGC00168954-03!7-[[(1R,4aS,6R,8aR)-6-hydroxy-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]methoxy]chromen-2-one"	C24 H30 O4	Not the top hit	No results	Full match	Partial match	383.21872	[M+H]+1	382.21147	8.371	188157781.4	9	0	3	0		NA	30.8	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2518	Unknown_mz_559.26019_+_RT_8.387	2	1	Atorvastatin	C33 H35 F N2 O5	No match	No results	Full match	Full match	559.26019	[M+H]+1	558.25307	8.389	57276042.58	1	0	32	0		NA	59.3	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2520	Unknown_mz_312.15887_+_RT_8.389	2	1	Nalorphine	C19 H21 N O3	Full match	Full match	No results	Full match	312.15887	[M+H]+1	311.15202	8.39	7140309.697	11	1	0	5	Biosynthesis of secondary metabolites;Metabolic pathways;Isoquinoline alkaloid biosynthesis;Biosynthesis of alkaloids derived from shikimate pathway;Other	69.2	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2527	Unknown_mz_646.03033_+_RT_8.501	2	1	Amiodarone	C25 H29 I2 N O3	No match	Full match	Full match	Full match	646.03033	[M+H]+1	645.02383	8.502	416110976.5	1	1	12	0		68.2	77.5	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
2546	Unknown_mz_299.16132_+_RT_8.588	2	1	Alimemazine	C18 H22 N2 S	Not the top hit	Full match	No results	No match	299.16132	[M+H]+1	298.15399	8.592	128221816.8	10	1	0	0		61.7	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2560	Unknown_mz_451.22992_+_RT_8.602	2	1	Nandrolone glucuronide	C24 H34 O8	Full match	Full match	No results	Partial match	451.22992	[M+H]+1	450.22294	8.603	9005573.411	1	1	0	0		61.1	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2584	Unknown_mz_317.05823_-_RT_8.727	2	1	Fenofibric acid	C17 H15 Cl O4	Full match	Full match	Full match	No match	317.05823	[M-H]-1	318.0654	8.728	111377488.8	4	1	38	1	Biosynthesis of type II polyketide products	96.3	96.3	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2648	Unknown_mz_359.2222_-_RT_9.036	2	1	Maresin 1	C22 H32 O4	Full match	No results	Full match	Partial match	359.2222	[M-H]-1	360.22959	9.04	1134784904	10	0	1	3	Biosynthesis of secondary metabolites;Metabolic pathways;Other	NA	49	Single match found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2717	Unknown_mz_325.17459_+_RT_9.43	2	1	Escitalopram	C20 H21 F N2 O	No match	Full match	Full match	No match	325.17459	[M+H]+1	324.16745	9.433	3294068.551	1	2	17	1	Other	65.6	35.2	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
2726	Unknown_mz_391.28552_-_RT_9.541	2	1	Deoxycholic acid	C24 H40 O4	Full match	Full match	No results	Full match	391.28552	[M-H]-1	392.29269	9.542	8797164.897	23	1	0	4	Metabolic pathways;Bile secretion;Other	69.5	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2751	Unknown_mz_431.31549_+_RT_9.71	2	1	"NCGC00384756-01_C27H42O4_(3beta,5alpha,8xi,9xi,14xi,25S)-3-Hydroxyspirostan-12-one"	C27 H42 O4	Full match	No results	Full match	Partial match	431.31549	[M+H]+1	430.3083	9.712	10823842.19	11	0	3	3	Other	NA	48	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2794	Unknown_mz_445.29514_+_RT_10.03	2	1	NP-017176	C27 H40 O5	Full match	Full match	No results	Partial match	445.29514	[M+H]+1	444.28765	10.032	6709676.661	2	1	0	0		65.5	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2819	Unknown_mz_311.2226_-_RT_10.281	2	1	FA 18:2+2O	C18 H32 O4	Full match	No results	Full match	Partial match	311.2226	[M-H]-1	312.22986	10.283	50453089.61	18	0	9	5	Biosynthesis of secondary metabolites;Metabolic pathways;Other	NA	64	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2836	Unknown_mz_318.242_+_RT_10.316	2	1	"(1S,4S,5R,9R,13S)-5,9-dimethyl-14-methylidenetetracyclo[]hexadec-10-ene-5-carboxylic acid"	C20 H28 O2	Full match	Full match	Not the top hit	Partial match	318.24234	[M+NH4]+1	300.20857	10.318	115529877.9	29	5	25	13	Biosynthesis of secondary metabolites;Metabolic pathways;Diterpenoid biosynthesis;Other	70.7	72.9	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
2846	Unknown_mz_311.2226_-_RT_10.43	2	1	FA 18:2+2O	C18 H32 O4	Full match	No results	Full match	Partial match	311.2226	[M-H]-1	312.2299	10.432	111550684.7	18	0	13	5	Biosynthesis of secondary metabolites;Metabolic pathways;Other	NA	64	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2896	Unknown_mz_317.2117_-_RT_10.765	2	1	5-HEPE	C20 H30 O3	Not the top hit	No results	Full match	Partial match	317.2117	[M-H]-1	318.21901	10.768	39673272.32	52	0	92	6	Biosynthesis of secondary metabolites;Metabolic pathways;Arachidonic acid metabolism;Diterpenoid biosynthesis;Serotonergic synapse;Other	NA	88.3	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2914	Unknown_mz_367.22388_+_RT_10.871	2	1	Drospirenone	C24 H30 O3	Full match	Full match	Full match	Full match	367.22388	[M+H]+1	366.21663	10.874	68767694.58	2	1	11	0		72.9	90.4	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2987	Unknown_mz_1039.67261_+_RT_11.185	2	1	LPC 18:2	C26 H50 N O7 P	Full match	No results	Full match	Partial match	1039.67261	[2M+H]+1	519.33231	11.186	10532409665	2	0	4	0		NA	79.8	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
3046	Unknown_mz_991.67279_+_RT_11.463	2	1	PC(16:0/0:0)	C24 H50 N O7 P	Full match	No results	Full match	Partial match	991.67297	[2M+H]+1	495.33228	11.463	3741119863	2	0	9	0		NA	86.1	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
3077	Unknown_mz_319.22717_-_RT_11.732	2	1	"8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid"	C20 H32 O3	Full match	Full match	Full match	Not the top hit	319.22717	[M-H]-1	320.23462	11.735	40071520.65	47	1	19	8	Metabolic pathways;Arachidonic acid metabolism;Serotonergic synapse;Other	62.6	79.6	Multiple matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
3194	Unknown_mz_303.23148_+_RT_12.58	2	1	Methenolone	C20 H30 O2	Full match	Full match	Full match	Not the top hit	303.23148	[M+H]+1	302.2242	12.581	4897711.286	51	7	4	5	Biosynthesis of secondary metabolites;Metabolic pathways;Diterpenoid biosynthesis;Other	65.8	34.9	No matches found	No matches found	No matches found	No matches found	Single match found	No matches found	Multiple matches found	NA	DDA for preferred ion
3215	Unknown_mz_583.32489_+_RT_12.748	2	1	"[2-hydroxy-3-[hydroxy-[2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphoryl]oxypropyl] octadecanoate"	C27 H53 O12 P	Not the top hit	No results	Full match	Partial match	583.32477	[M+H-H2O]+1	600.32754	12.751	197599379.6	4	0	1	1	Other	NA	74	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
3219	Unknown_mz_601.33551_+_RT_12.751	2	1	"[2-hydroxy-3-[hydroxy-[2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphoryl]oxypropyl] octadecanoate"	C27 H53 O12 P	Not the top hit	No results	Full match	Partial match	601.33527	[M+H]+1	600.32754	12.751	197599379.6	4	0	1	1	Other	NA	74	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
3262	Unknown_mz_282.27869_+_RT_13.159	2	1	Oleamide	C18 H35 N O	Full match	Full match	No results	Partial match	282.27869	[M+H]+1	281.27174	13.162	9521756.006	3	1	0	0		63.5	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
3263	Unknown_mz_256.26337_+_RT_13.166	2	1	Hexadecanamide	C16 H33 N O	Full match	Full match	No results	Full match	256.26337	[M+H]+1	255.25605	13.169	5837645.962	1	1	0	0		88.7	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
3299	Unknown_mz_337.27298_+_RT_13.471	2	1	monolinolein	C21 H38 O4	Full match	No results	Full match	Partial match	337.27298	[M+H-H2O]+1	354.27678	13.474	1057273545	5	0	3	0		NA	46.8	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
3304	Unknown_mz_355.28354_+_RT_13.472	2	1	monolinolein	C21 H38 O4	Full match	No results	Full match	Partial match	355.28354	[M+H]+1	354.27678	13.474	1057273545	5	0	3	0		NA	46.8	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
3375	Unknown_mz_391.28354_+_RT_14.132	2	1	Dioctyl Phthalate	C24 H38 O4	Not the top hit	No results	Full match	Partial match	391.28354	[M+H]+1	390.27666	14.133	8704335.188	13	0	13	0		NA	89.4	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
3409	Unknown_mz_379.28143_+_RT_14.557	2	1	2-Arachidonoyl glycerol	C23 H38 O4	Not the top hit	Full match	No results	Full match	379.28143	[M+H]+1	378.27407	14.558	519633959.3	11	1	0	3	Other	66.1	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
3486	Unknown_mz_309.2782_+_RT_15.437	2	1	"NCGC00385659-01_C20H36O2_1-Naphthalenepentanol, decahydro-6-hydroxy-gamma,5,5,8a-tetramethyl-2-methylene-"	C20 H36 O2	Not the top hit	No results	Full match	Partial match	309.2782	[M+H]+1	308.27117	15.438	17141959.07	8	0	1	3	Biosynthesis of secondary metabolites;Diterpenoid biosynthesis;Other	NA	41.2	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
3622	Unknown_mz_311.29376_+_RT_17.074	2	1	Ethyl oleate	C20 H38 O2	Full match	Full match	No results	Full match	311.29376	[M+H]+1	310.28685	17.075	8718629.229	13	1	0	1	Other	68.4	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
3929	Unknown_mz_871.53259_-_RT_20.868	2	1	PI 37:4	C46 H81 O13 P	No match	No results	Full match	No results	871.53259	[M-H]-1	872.54052	20.87	23100297.95	0	0	8	0		NA	40.6	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4076	Unknown_mz_806.53259_-_RT_21.262	2	1	PE(18:0/10-HDoHE)	C45 H78 N O9 P	Not the top hit	No results	Full match	No match	806.53259	[M-H]-1	807.54106	21.263	28132426.89	1	0	2	0		NA	44.6	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4153	Unknown_mz_790.53766_-_RT_21.567	2	1	PE 40:6	C45 H78 N O8 P	No match	No results	Full match	Partial match	790.53766	[M-H]-1	791.54365	21.568	16084195.5	50	0	8	0		NA	42.4	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4192	Unknown_mz_834.52502_-_RT_21.818	2	1	PS 40:6	C46 H78 N O10 P	No match	No results	Full match	Partial match	834.52502	[M-H]-1	835.53411	21.82	9494920.921	24	0	4	0		NA	41.9	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4277	Unknown_mz_838.56104_+_RT_22.088	2	1	PS 40:5	C46 H80 N O10 P	No match	No results	Full match	Partial match	838.56104	[M+H]+1	837.5508	22.091	17234822.75	53	0	4	0		NA	38.3	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4320	Unknown_mz_808.51019_-_RT_22.259	2	1	PS 38:5	C44 H76 N O10 P	No match	No results	Full match	Partial match	808.51019	[M-H]-1	809.51769	22.26	6916918.621	48	0	4	0		NA	33	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4349	Unknown_mz_1468.13306_+_RT_22.327	2	1	DL-Dipalmitoylphosphatidylcholine	C40 H80 N O8 P	Full match	Full match	No results	Full match	1468.13306	[2M+H]+1	733.56175	22.33	6489011323	11	1	0	0		94.4	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
4410	Unknown_mz_776.5246_-_RT_22.503	2	1	PE 39:6	C44 H76 N O8 P	Full match	No results	Full match	Partial match	776.5246	[M-H]-1	777.53099	22.505	5369994.502	40	0	4	0		NA	37.1	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4521	Unknown_mz_784.5116_-_RT_22.849	2	1	PS 36:3	C42 H76 N O10 P	No match	No results	Full match	Partial match	784.5116	[M-H]-1	785.51787	22.851	6533926.264	16	0	4	0		NA	37.3	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
4601	Unknown_mz_762.59894_+_RT_23.091	2	1	"[2,3-di(heptadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate"	C42 H84 N O8 P	No match	No results	Full match	Partial match	762.59894	[M+H]+1	761.59231	23.092	28515906.29	13	0	1	0		NA	77.8	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
5437	Unknown_mz_774.59595_+_RT_24.818	2	1	PE 38:1	C43 H84 N O8 P	No match	No results	Full match	Partial match	774.59595	[M+H]+1	773.59334	24.816	36804080.88	30	0	4	0		NA	79.8	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
