	translatome	tran_name	tran_annotation	tran_category	proteome	prot_name	prot_annotation	prot_category	correlation
1592	O75494	SRSF10	Serine/arginine-rich splicing factor 10;SRSF10;ortholog	RNA splicing factor(PC00148)	P46013				0.169383347895307
1593	P19338	NCL	Nucleolin;NCL;ortholog		Q13685	AAMP	Angio-associated migratory cell protein;AAMP;ortholog		0.169185495257172
1594	Q9Y2B0				Q96DB5				0.169184384599849
1595	P05787	KRT8	Keratin		Q6NXT1				0.16872883022470098
1596	P28370				Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.16868267120335598
1597	P53602	MVD			Q13685	AAMP	Angio-associated migratory cell protein;AAMP;ortholog		0.168529432225387
1598	Q14566	MCM6	DNA replication licensing factor MCM6;MCM6;ortholog	DNA binding protein(PC00009)	P08243	ASNS	Asparagine synthetase [glutamine-hydrolyzing];ASNS;ortholog	ligase(PC00142)	0.16851425492593802
1599	Q14566	MCM6	DNA replication licensing factor MCM6;MCM6;ortholog	DNA binding protein(PC00009)	Q9Y548				0.168510254059917
1600	P06280	GLA	Alpha-galactosidase A;GLA;ortholog		Q69YU5				0.16843023398028
1601	Q9Y281				Q00266_P31153				0.16829419622728198
1602	Q9Y2B0				O94956	SLCO2B1	Solute carrier organic anion transporter family member 2B1;SLCO2B1;ortholog	transporter(PC00227)	0.16821148185371002
1603	O75368				P06493	CDK1	Cyclin-dependent kinase 1;CDK1;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.168166105644785
1604	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	0.168023300475679
1605	Q03701				O95478				0.167766507355349
1606	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	P31153	MAT2A	S-adenosylmethionine synthase isoform type-2;MAT2A;ortholog	nucleotidyltransferase(PC00174)	0.16768647037943
1607	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	Q9NQ84				0.167571679729734
1608	Q96A33				Q14517				0.167400149022155
1609	P08865	RPSA	40S ribosomal protein SA;RPSA;ortholog	ribosomal protein(PC00202)	O75127				0.167318795809043
1610	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		0.167298519567131
1611	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		O75116	ROCK2	Rho-associated protein kinase 2;ROCK2;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.166869528037361
1612	P30040				Q14517				0.166635820642802
1613	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.166607149664724
1614	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	P47897_P07814				0.16659292696768602
1615	P39023	RPL3	60S ribosomal protein L3;RPL3;ortholog	ribosomal protein(PC00202)	P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	0.16610687970087099
1616	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	Q49A26				0.166077034527336
1617	Q8NC51				Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	0.165645389671442
1618	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		Q9NQ84				0.16559721505830702
1619	Q9Y281				Q7KZ85	SUPT6H	Transcription elongation factor SPT6;SUPT6H;ortholog	general transcription factor(PC00259)	0.165558307054045
1620	P30040				P48507	GCLM	Glutamate--cysteine ligase regulatory subunit;GCLM;ortholog	ligase(PC00142)	0.16529626072023998
1621	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		Q9NQ84				0.16443278248801999
1622	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	P48730_P49674				0.16442204562141102
1623	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	Q99519	NEU1	Sialidase-1;NEU1;ortholog	hydrolase(PC00121)	0.164304889500849
1624	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.164265779636452
1625	Q8NHP8				P62249	RPS16	40S ribosomal protein S16;RPS16;ortholog		0.164199849753111
1626	P00480	OTC	Ornithine carbamoyltransferase		P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	0.163840619729345
1627	Q8N6R0				O14777	NDC80	Kinetochore protein NDC80 homolog;NDC80;ortholog	transcription cofactor(PC00217)	0.16377545082679099
1628	P10412	HIST1H1E	Histone H1.4;HIST1H1E;ortholog	histone(PC00118)	Q6NXT1				0.163658919494195
1629	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	Q8TB92	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase	lyase(PC00144)	0.163390649234297
1630	P28370				P31948	STIP1	Stress-induced-phosphoprotein 1;STIP1;ortholog		0.16324023194084197
1631	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		0.163105727972099
1632	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q14517				0.162466611141246
1633	Q9Y2B0				Q7Z2T5				0.16243291330953602
1634	Q96EL3	MRPL53	39S ribosomal protein L53		Q8TB92	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase	lyase(PC00144)	0.162387445337706
1635	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		0.161715593533445
1636	P10412	HIST1H1E	Histone H1.4;HIST1H1E;ortholog	histone(PC00118)	Q96K21				0.16156933564314802
1637	Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1;ABCF1;ortholog	translation elongation factor(PC00222)	P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.161243389900715
1638	P08865	RPSA	40S ribosomal protein SA;RPSA;ortholog	ribosomal protein(PC00202)	Q96QR8				0.161082961738676
1639	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	O75127				0.16093758489745802
1640	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	Q9C0A0				0.160855762276596
1641	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	0.160507778095456
1642	Q9Y2B0				Q7Z434	MAVS	Mitochondrial antiviral-signaling protein;MAVS;ortholog		0.160501603577762
1643	P19338	NCL	Nucleolin;NCL;ortholog		P62249	RPS16	40S ribosomal protein S16;RPS16;ortholog		0.16027898983116
1644	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	Q9BQP7				0.160087678320044
1645	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	P06493	CDK1	Cyclin-dependent kinase 1;CDK1;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.16003352849687
1646	P28370				P19404	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2		0.159586285327009
1647	Q96EL3	MRPL53	39S ribosomal protein L53		P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	0.159579232071571
1648	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	P46013				0.159574582769586
1649	Q14566	MCM6	DNA replication licensing factor MCM6;MCM6;ortholog	DNA binding protein(PC00009)	Q13685	AAMP	Angio-associated migratory cell protein;AAMP;ortholog		0.15956303669845098
1650	Q8N6R0				Q8TB92	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase	lyase(PC00144)	0.159329937730341
1651	Q8NC51				Q9NQ84				0.159003060157914
1652	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	O75643	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase;SNRNP200;ortholog	scaffold/adaptor protein(PC00226)	0.158856099329867
1653	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	0.158779579102958
1654	P68104	EEF1A1	Elongation factor 1-alpha 1;EEF1A1;ortholog	translation factor(PC00223)	Q2M2H8				0.15876798197480899
1655	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	O75116	ROCK2	Rho-associated protein kinase 2;ROCK2;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.158542603476461
1656	P28370				P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.15842253025228697
1657	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	0.15839849586957502
1658	Q14566	MCM6	DNA replication licensing factor MCM6;MCM6;ortholog	DNA binding protein(PC00009)	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.15820567329411098
1659	Q14978				O60292				0.15813967105363502
1660	Q8NHP8				O94956	SLCO2B1	Solute carrier organic anion transporter family member 2B1;SLCO2B1;ortholog	transporter(PC00227)	0.158103665888248
1661	Q9Y2R9	MRPS7	28S ribosomal protein S7	ribosomal protein(PC00202)	P47897_P07814				0.15798032307747198
1662	P30040				P30047	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein;GCHFR;ortholog		0.15776280106754298
1663	Q86Y07				P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit;PRKAR1B;ortholog		0.157630943171837
1664	Q14978				Q69YU5				0.157587153814285
1665	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	0.15758039185953002
1666	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	O95478				0.157562583453422
1667	P05787	KRT8	Keratin		P50395	GDI2	Rab GDP dissociation inhibitor beta;GDI2;ortholog	G-protein modulator(PC00022)	0.157471573553654
1668	P05783	KRT18	Keratin		P47897_P07814				0.15746199737000596
1669	P06280	GLA	Alpha-galactosidase A;GLA;ortholog		P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	0.157394707374595
1670	P61962	DCAF7	DDB1- and CUL4-associated factor 7;DCAF7;ortholog		P48730_P49674				0.15710091779251
1671	A6NHR9				P31153	MAT2A	S-adenosylmethionine synthase isoform type-2;MAT2A;ortholog	nucleotidyltransferase(PC00174)	0.157000543720679
1672	Q86Y07				P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.15692972220511803
1673	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		O75127				0.156693765271477
1674	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit;PRKAR1B;ortholog		0.156683085846984
1675	P61962	DCAF7	DDB1- and CUL4-associated factor 7;DCAF7;ortholog		P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7;PSMD7;ortholog	translation initiation factor(PC00224)	0.156635753904177
1676	P10412	HIST1H1E	Histone H1.4;HIST1H1E;ortholog	histone(PC00118)	Q16719	KYNU	Kynureninase;KYNU;ortholog	hydrolase(PC00121)	0.156440724089428
1677	P06280	GLA	Alpha-galactosidase A;GLA;ortholog		P14174	MIF			0.156223917295814
1678	Q03701				Q9BPZ3				0.156190801260776
1679	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	Q7Z434	MAVS	Mitochondrial antiviral-signaling protein;MAVS;ortholog		0.156181589540952
1680	P28370				P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.156141059801073
1681	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	Q9Y548				0.15610350282934302
1682	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	P14174	MIF			0.156018406218515
1683	O75494	SRSF10	Serine/arginine-rich splicing factor 10;SRSF10;ortholog	RNA splicing factor(PC00148)	Q96K21				0.155661793988903
1684	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		Q5TBB1				0.15552307076339
1685	P06280	GLA	Alpha-galactosidase A;GLA;ortholog		Q15465	SHH	Sonic hedgehog protein;SHH;ortholog		0.155461777999616
1686	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q9C0A0				0.15545488293076
1687	Q9Y2B0				Q03135	CAV1			0.155119304759488
1688	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	O60292				0.155086423162844
1689	P05787	KRT8	Keratin		Q96DB5				0.154944753784697
1690	Q96A33				P48730_P49674				0.154932580560952
1691	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	Q13685	AAMP	Angio-associated migratory cell protein;AAMP;ortholog		0.154670316016602
1692	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	O75116	ROCK2	Rho-associated protein kinase 2;ROCK2;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.15465969619168202
1693	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	0.154654035594517
1694	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	Q49A26				0.154622190161803
1695	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	O43795				0.154570239475499
1696	Q5T6V5				Q00266_P31153				0.154340492561793
1697	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit;PRKAR1B;ortholog		0.15428710659914702
1698	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	Q03169				0.153909691332219
1699	O75368				O43663	PRC1	Protein regulator of cytokinesis 1;PRC1;ortholog	non-motor microtubule binding protein(PC00166)	0.153740509531505
1700	P28370				P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		0.153716730499023
1701	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	Q9H1X3				0.153666372040616
1702	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	P30046				0.153342929506704
1703	Q8NHP8				O75717				0.152736384638069
1704	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		O75717				0.152304237786336
1705	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7;PSMD7;ortholog	translation initiation factor(PC00224)	0.152184225708145
1706	Q86Y07				Q9Y548				0.15211140326495
1707	P00480	OTC	Ornithine carbamoyltransferase		Q7Z434	MAVS	Mitochondrial antiviral-signaling protein;MAVS;ortholog		0.151931024104462
1708	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	Q8WYA6	CTNNBL1	Beta-catenin-like protein 1;CTNNBL1;ortholog		0.151706193237062
1709	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		Q9Y224	C14orf166	RNA transcription		0.151635646897272
1710	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	Q99519	NEU1	Sialidase-1;NEU1;ortholog	hydrolase(PC00121)	0.151632185019981
1711	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		O43663	PRC1	Protein regulator of cytokinesis 1;PRC1;ortholog	non-motor microtubule binding protein(PC00166)	0.15162791015788799
1712	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	Q13685	AAMP	Angio-associated migratory cell protein;AAMP;ortholog		0.151404219057225
1713	Q9Y2R9	MRPS7	28S ribosomal protein S7	ribosomal protein(PC00202)	Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	0.151386026584263
1714	Q5T6V5				O75116	ROCK2	Rho-associated protein kinase 2;ROCK2;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.151193881289158
1715	P08865	RPSA	40S ribosomal protein SA;RPSA;ortholog	ribosomal protein(PC00202)	P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit;PRKAR1B;ortholog		0.15119251039901002
1716	Q8NC51				P24666				0.151100342710836
1717	Q5T6V5				P49959	MRE11A	Double-strand break repair protein MRE11;MRE11;ortholog		0.15052929149307998
1718	Q9Y2B0				O75717				0.150328581231799
1719	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	P04264_P04259_P02538_P04264_P05787_P13647				0.15025510010468301
1720	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	Q9Y224	C14orf166	RNA transcription		0.150189497489136
1721	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	P46013				0.15016942465596397
1722	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P14174	MIF			0.150127790758459
1723	O75368				Q16719	KYNU	Kynureninase;KYNU;ortholog	hydrolase(PC00121)	0.150075803065834
1724	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		Q9BPZ3				0.150003212924185
1725	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	Q03135	CAV1			0.14983953571100198
1726	P05388	RPLP0			P30046				0.149839119838581
1727	Q9Y281				O95478				0.149801018240577
1728	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	Q49A26				0.14967238478901002
1729	Q96EL3	MRPL53	39S ribosomal protein L53		Q69YU5				0.14963088857482598
1730	Q96A33				Q9UPN6				0.14954964465747303
1731	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	P61158	ACTR3	Actin-related protein 3;ACTR3;ortholog	actin and actin related protein(PC00039)	0.149518726384483
1732	O75368				P46013				0.149498931077148
1733	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	Q14517				0.149463515902932
1734	P39023	RPL3	60S ribosomal protein L3;RPL3;ortholog	ribosomal protein(PC00202)	P50395	GDI2	Rab GDP dissociation inhibitor beta;GDI2;ortholog	G-protein modulator(PC00022)	0.149427755009067
1735	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q9BPZ3				0.14918769513782199
1736	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	Q9NVI1	FANCI	Fanconi anemia group I protein;FANCI;ortholog		0.149093504946431
1737	Q9UHR5	SAP30BP	SAP30-binding protein;SAP30BP;ortholog		P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7;PSMD7;ortholog	translation initiation factor(PC00224)	0.148962577855595
1738	A6NHR9				P48730_P49674				0.148834422244465
1739	Q92626	PXDN	Peroxidasin homolog;PXDN;ortholog	peroxidase(PC00180)	Q03135	CAV1			0.148441230348176
1740	Q13907	IDI1			Q9Y224	C14orf166	RNA transcription		0.14830495413106798
1741	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	Q69YU5				0.14827807560053197
1742	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	Q99519	NEU1	Sialidase-1;NEU1;ortholog	hydrolase(PC00121)	0.14813608417321802
1743	Q14566	MCM6	DNA replication licensing factor MCM6;MCM6;ortholog	DNA binding protein(PC00009)	Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	0.148071771907234
1744	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		0.148065762094835
1745	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		O75717				0.14804080921060997
1746	P05783	KRT18	Keratin		P62249	RPS16	40S ribosomal protein S16;RPS16;ortholog		0.147985249188582
1747	P08865	RPSA	40S ribosomal protein SA;RPSA;ortholog	ribosomal protein(PC00202)	P30046				0.14787696629125902
1748	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	0.147822822481045
1749	P53602	MVD			Q03135	CAV1			0.14768421978750698
1750	P09211	GSTP1	Glutathione S-transferase P;GSTP1;ortholog		P50395	GDI2	Rab GDP dissociation inhibitor beta;GDI2;ortholog	G-protein modulator(PC00022)	0.14748977701075
1751	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	Q9C0A0				0.147436518272221
1752	Q8N6R0				Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	0.147370810964055
1753	Q9Y2R9	MRPS7	28S ribosomal protein S7	ribosomal protein(PC00202)	P02533_P08727_Q9D312_P19012_Q04695_P19001_P08727_P08779_P35900				0.14732868321212697
1754	Q03701				P06493	CDK1	Cyclin-dependent kinase 1;CDK1;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.14726055584581102
1755	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	Q9BPZ3				0.147172045232203
1756	Q8NHP8				Q8WWK9				0.147058784442203
1757	Q14978				P62249	RPS16	40S ribosomal protein S16;RPS16;ortholog		0.147051954568339
1758	P30040				Q9C0A0				0.147034125084182
1759	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		Q8TB92	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase	lyase(PC00144)	0.14702369288662803
1760	P62273	RPS29	40S ribosomal protein S29;RPS29;ortholog		P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		0.146895540742008
1761	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.146673340103143
1762	P00480	OTC	Ornithine carbamoyltransferase		Q13362	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PPP2R5C;ortholog	protein phosphatase(PC00195)	0.146554810063561
1763	Q8N6R0				Q99519	NEU1	Sialidase-1;NEU1;ortholog	hydrolase(PC00121)	0.14616116564174303
1764	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.14596841378005102
1765	P35754	GLRX	Glutaredoxin-1;GLRX;ortholog		P35869	AHR	Aryl hydrocarbon receptor;AHR;ortholog	basic helix-loop-helix transcription factor(PC00055)	0.145903948953265
1766	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	Q99519	NEU1	Sialidase-1;NEU1;ortholog	hydrolase(PC00121)	0.14566727092214699
1767	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	Q9H1X3				0.145529787303114
1768	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	O94956	SLCO2B1	Solute carrier organic anion transporter family member 2B1;SLCO2B1;ortholog	transporter(PC00227)	0.14548561765119
1769	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q8TB92	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase	lyase(PC00144)	0.145429095627379
1770	P61962	DCAF7	DDB1- and CUL4-associated factor 7;DCAF7;ortholog		P47897_P07814				0.14524775367265697
1771	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	P48507	GCLM	Glutamate--cysteine ligase regulatory subunit;GCLM;ortholog	ligase(PC00142)	0.145247370102705
1772	Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1;ABCF1;ortholog	translation elongation factor(PC00222)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.145111388117809
1773	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	0.14508918409907098
1774	P53602	MVD			O75127				0.14504143053028698
1775	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	P62249	RPS16	40S ribosomal protein S16;RPS16;ortholog		0.145039306390296
1776	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		P30047	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein;GCHFR;ortholog		0.144952233277863
1777	Q03701				Q9Y548				0.14488478784295902
1778	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit;PRKAR1B;ortholog		0.14463365683030302
